Release_Date,Title,Overview,Genre
17/02/2022,Erax,Monstrous creatures leap from a magical storybook and unleash mayhem and mischief for Auntie Opal and her tween niece Nina in this spooky short film.,"Mystery, Family"
17/02/2022,Heart Shot,Teenagers Nikki and Sam are in love and planning their future together — until Nikki's dangerous past returns to threaten everything.,"Romance, Crime"
17/02/2022,The Desperate Hour,A woman desperately races to save her child after police place her hometown on lockdown due to an active shooter incident.,Thriller
17/02/2022,Dog,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,"Drama, Comedy"
17/02/2022,Jeepers Creepers: Reborn,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she believes that something unearthly has been summoned… and that she is at the center of it.","Horror, Thriller"
17/02/2022,Eleven Silent Men,"Tells about the events of November 1945 when the first Post War championship of the USSR winners, Dynamo-Moscow, went on the historic tour of Britain. Soviet football players won not only on the football fields of England. They managed to win the hearts of the English audience, transforming the view created by the Western press and propaganda about the Russian people and the Soviet country.",Drama
16/02/2022,ASSEMBLED: The Making of Eternals,"Join director Chloe Zhao and the Cast of Eternals as they recount their experiences during the making of Marvel Studios’ most ambitious film to date. Discover how the ensemble cast felt stepping into their roles, filming in remote locations, and creating bonds that would help to create the on-screen relationships that span over 7,000 years.",Documentary
16/02/2022,Chickenhare and the Hamster of Darkness,"Young Chickenhare is the adopted son of King Peter, a famous adventurer. Part chicken and part hare, he has a really tough time growing up and disguises himself as a hare to avoid the mockeries of his peers. When the day of the Royal Adventurer Society trials comes, Chickenhare, hampered by his disguise, fails miserably. But he is determined to grab a second chance and find the Scepter of the Hamster of Darkness, before his evil Uncle Lapin. The Scepter will give immense power to its holder. If Lapin gets hold of it, he will be unstoppable. Accompanied by his faithful servant Abe, a sarcastic turtle, and Meg, a martial arts expert skunk, he sets of on an epic and initiatory quest.","Adventure, Animation, Comedy, Family, Fantasy"
15/02/2022,AI Love You,"A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections.","Comedy, Romance, Science Fiction"
12/02/2022,New Kung Fu Cult Master 2,"Wudang master Zhang Cuishan who lives in the Shangri-La Ice and Fire Island with his family, away from the dissension and bloodshed, ambushed and leaving his young son Zhang Wuji orphaned.","Action, Fantasy, Drama"
11/02/2022,Love Tactics,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.","Romance, Comedy"
11/02/2022,The Sky Is Everywhere,"Lennie is a teen musical prodigy grieving the death of her sister when she finds herself caught between a new guy at school and her sister's devastated boyfriend. Through her vivid imagination and conflicted heart, Lennie navigates first love and first loss.","Drama, Romance, Music"
11/02/2022,Bigbug,"Humans have ceded most tasks to AI in 2045, even in nostalgic Alice's home. So when robots stage a coup, her androids protectively lock her doors.","Science Fiction, Comedy"
11/02/2022,Love and Leashes,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.","Romance, Comedy"
11/02/2022,Tall Girl 2,"After Jodi Kreyman gains popularity, her miscommunications start causing rifts with those around her and now she really needs to ""stand tall"".","Comedy, Drama, Romance"
11/02/2022,The In Between,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.","Science Fiction, Romance"
10/02/2022,Kimi,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",Thriller
10/02/2022,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.","Action, Adventure"
10/02/2022,Blacklight,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,"Action, Thriller"
10/02/2022,The Exorcism of God,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",Horror
10/02/2022,Against the Ice,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.","Adventure, History, Drama"
10/02/2022,I Want You Back,"Peter and Emma thought they were on the precipice of life’s biggest moments – marriage, kids, and houses in the suburbs – until their respective partners dumped them. Horrified to learn that the loves of their lives have already moved on, Peter and Emma hatch a hilarious plan to win back their exes with unexpected results.","Comedy, Romance"
10/02/2022,Into the Wind,"She graduated from a prestigious high school in Warsaw and entered medicine in London. He works as a kitesurfing instructor at the seaside, thanks to which he combines earning money and passion. They will meet in Hel. The unusual charm of the boy makes the girl exceed her limits and enter a completely unknown world of kitesurfing, music and fun. The feeling that arises between them does not please her family or his friends. Is Ania and Michal's relationship strong enough to overcome adversities and become more than just a holiday love?","Comedy, Drama, Romance"
10/02/2022,Shut In,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late,"Horror, Thriller"
09/02/2022,Marry Me,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.","Romance, Comedy, Music"
09/02/2022,The Privilege,A wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events.,Horror
09/02/2022,Downfall: The Case Against Boeing,Investigators reveal how Boeing’s alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other.,Documentary
